name,type,location,state,duration,eligibility,year_recommended,stipend,how_to_apply,link,stream
PM Internship Scheme,Government,Pan India,All India,12 months,Any degree student 18-24 years,3rd Year+,₹5000 per month + ₹6000 grant,Apply on official portal,https://pminternship.mca.gov.in,All
AICTE National Internship Portal,Government,Pan India,All India,Flexible,Any AICTE college student,1st Year+,Paid and unpaid options,Register free on portal,https://internship.aicte-india.org,Engineering
Digital India Internship NIC MeitY,Government,Pan India,All India,2-3 months,BCA/IT students,2nd Year+,Certificate + stipend,Apply on NIC website,https://www.nic.in,BCA
NITI Aayog Internship,Government,New Delhi,All India,2-6 months,UG/PG students IT preferred,2nd Year+,Paid options available,Apply on NITI website,https://www.niti.gov.in/internship,All
IBM SkillsBuild Virtual Internship,Corporate,Remote,All India,8 weeks,Any BCA student,1st Year+,Free certificate + badge,Register via AICTE portal,https://skillsbuild.org,BCA
TCS iON Virtual Internship,Corporate,Remote,All India,Flexible,BCA students,1st Year+,Free certificate,Register on TCS iON,https://www.tcsion.com,BCA
Google STEP Internship,Corporate,Hyderabad/Remote,All India,12 weeks,1st and 2nd year CS/IT,1st Year+,Paid + certificate,Apply on Google careers,https://careers.google.com/students,Engineering
Microsoft Explore Internship,Corporate,Hyderabad/Remote,All India,8 weeks,1st and 2nd year CS students,1st Year+,Paid + certificate,Apply on Microsoft careers,https://careers.microsoft.com/students,Engineering
Tata Global Internship,Corporate,Pan India,All India,8-12 weeks,Any degree student,2nd Year+,Paid + certificate,Apply on Tata careers,https://www.tata.com/careers,All
Reliance Foundation Internship,Corporate,Pan India,All India,3-6 months,Any UG student,2nd Year+,Paid stipend,Apply on Reliance Foundation,https://reliancefoundation.org,All
Internshala,Online Platform,Remote/Pan India,All India,1-6 months,Any degree student,1st Year+,Paid and unpaid,Create free profile and apply,https://internshala.com,All
LinkedIn Jobs,Online Platform,Remote/Pan India,All India,Flexible,Any degree student,1st Year+,Varies by company,Create profile and apply,https://linkedin.com/jobs,All
ISRO Internship,Government,Bangalore/Pan India,All India,1-6 months,CS/IT students CGPA 7+,2nd Year+,Certificate + stipend,Apply on ISRO website,https://www.isro.gov.in,Engineering
Skill India Digital,Government,Remote,All India,Flexible,Any student,1st Year+,Free certificate,Register on portal,https://www.skillindiadigital.gov.in/internship,All
YBI Foundation Bootcamp,NGO,Remote,All India,15-45 days,Any IT student,1st Year+,Free certificate,Apply on website,https://www.youthbusiness.org,BCA
Apollo Hospitals Medical Internship,Corporate,Pan India,All India,1-3 months,MBBS/Nursing/Medicine students,2nd Year+,Certificate provided,Apply on Apollo website,https://apollohospitals.com/careers,Medicine
AIIMS Research Internship,Government,New Delhi,All India,2-3 months,Medical/Nursing students,3rd Year+,Stipend provided,Apply on AIIMS website,https://www.aiims.edu,Medicine
Manipal Hospital Internship,Corporate,Pan India,All India,1-3 months,Nursing/Medicine students,2nd Year+,Certificate + experience,Apply on Manipal website,https://manipalhospitals.com,Medicine
ICICI Bank Finance Internship,Corporate,Pan India,All India,2-3 months,BCom/Finance students,2nd Year+,Paid stipend,Apply on ICICI careers,https://www.icicicareers.com,BCom
Deloitte Business Internship,Corporate,Pan India,All India,8-12 weeks,BCom/BBA students,3rd Year+,Paid + certificate,Apply on Deloitte careers,https://www2.deloitte.com/in,BCom
British Council Arts Internship,NGO,Pan India,All India,3-6 months,Arts/Humanities students,2nd Year+,Stipend provided,Apply on British Council,https://www.britishcouncil.in,Arts
Penguin Random House Editorial Internship,Corporate,Remote/Delhi,All India,3 months,English Literature/Arts students,2nd Year+,Paid stipend,Apply on website,https://www.penguinrandomhouse.com,Arts
ASAP Kerala Internship,Government,Kerala,Kerala,3-6 months,Kerala graduate students,3rd Year+,Paid,Register on ASAP website,https://asapkerala.gov.in/internships,All
KSUM Student Programs,Government,Trivandrum Kerala,Kerala,3 months,Tech students in Kerala,2nd Year+,Stipend provided,Apply through KSUM portal,https://startupmission.kerala.gov.in,BCA
Technopark Trivandrum,IT Park,Trivandrum Kerala,Kerala,3 months,BCA/BSc CS students,2nd Year+,Stipend varies,Apply to companies in park,https://technopark.org,BCA
Infopark Kochi,IT Park,Kochi Kerala,Kerala,3 months,BCA/BSc CS students,2nd Year+,Stipend varies,Apply to companies in park,https://infopark.in,BCA
Cyberpark Calicut,IT Park,Calicut Kerala,Kerala,3 months,BCA/CS students,2nd Year+,Stipend varies,Apply to companies in park,https://cyberpark.in,BCA
Nestsoft Technologies,Private,Kochi/Trivandrum/Calicut,Kerala,1-3 months,BCA/BSc CS/MCA,1st Year+,Free certificate,Apply on website,https://nestsoft.com,BCA
SMEClabs Internship,Private,Kochi/Calicut/Trivandrum,Kerala,1-2 months,BCA/Engineering/Diploma,1st Year+,Certificate provided,Apply on website,https://smeclabs.com/internship,Engineering
TIDEL Park Chennai,IT Park,Chennai Tamil Nadu,Tamil Nadu,3 months,BCA/BSc CS students,2nd Year+,Stipend varies,Apply to companies in park,https://tidel.com,BCA
SIPCOT IT Park,IT Park,Chennai Tamil Nadu,Tamil Nadu,3 months,CS/IT students,2nd Year+,Stipend varies,Apply to companies,https://www.sipcot.com,Engineering
TN e-Governance Internship,Government,Tamil Nadu,Tamil Nadu,2-3 months,Any TN college student,2nd Year+,Certificate provided,Apply through college,https://tn.gov.in,All
ELCOT Tamil Nadu,Government,Chennai Tamil Nadu,Tamil Nadu,2-3 months,CS/IT/BCA students,2nd Year+,Certificate + stipend,Apply on ELCOT website,https://www.elcot.in,BCA
